question,sparql
"What are the series ordinal of Evo Morales, the President of Bolivia?",SELECT ?value WHERE { wd:Q42410 p:P39 ?s . ?s ps:P39 wd:Q373548 . ?s pq:P1545 ?value}
What gaming platform is Second Life on?,SELECT ?answer WHERE { wd:Q106827 wdt:P400 ?X . ?X wdt:P747 ?answer}
What was Richard Harris nominated for because of his performance in Gladiator?,SELECT ?obj WHERE { wd:Q106775 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 wd:Q128518 }
Thomas Hunt Morgan is a doctoral advisor to how many?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P184 wd:Q177681 }
In what year did Charles Martel fight in the Battle of the River Berre?,SELECT ?value WHERE { wd:Q3301 p:P607 ?s . ?s ps:P607 wd:Q1508114 . ?s pq:P585 ?value}
What are thebarycenter which start with the letter center,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q809690 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'center')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
tell me sexual orientation that name has the word sex in it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q17888 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'sex')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
How many landing locations are there in the Atlantic Ocean?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P1158 wd:Q97 }
Which article of Z-Boys features the film director Stacy Peralta?,SELECT ?answer WHERE { wd:Q191378 wdt:P805 ?answer . ?answer wdt:P57 wd:Q465229}
When did Ternopil Oblast become part of Ukraine?,SELECT ?value WHERE { wd:Q173407 p:P131 ?s . ?s ps:P131 wd:Q212 . ?s pq:P580 ?value}
what is located in the administrative territorial entity for Huawei has headquarters location as Shenzhen ?,SELECT ?value WHERE { wd:Q160120 p:P159 ?s . ?s ps:P159 wd:Q15174 . ?s pq:P131 ?value}
What college did Salvador Dali begin in 1922?,"SELECT ?obj WHERE { wd:Q5577 p:P69 ?s . ?s ps:P69 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1922')) }"
What  fruit image is on Tulipa's capsule?,SELECT ?value WHERE { wd:Q93201 p:P4000 ?s . ?s ps:P4000 wd:Q147768 . ?s pq:P18 ?value}
What language is used to pronounce Guy de Maupassant?,SELECT ?answer WHERE { wd:Q9327 wdt:P103 ?X . ?X wdt:P443 ?answer}
What was Ethiopia's ethnic makeup in 2007?,"SELECT ?obj WHERE { wd:Q115 p:P172 ?s . ?s ps:P172 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }"
What is the  material  developed by McAfee VirusScan ?,SELECT ?answer WHERE { wd:Q1629915 wdt:P178 ?X . ?X wdt:P1056 ?answer}
What cast member joined Sesame Street in 1972?,"SELECT ?obj WHERE { wd:Q155629 p:P161 ?s . ?s ps:P161 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1972')) }"
"Knowing about his signs of memory loss that disrupts daily life, what is the disability of Paddy Roy Bates?",SELECT ?answer WHERE { wd:Q555531 wdt:P1050 ?answer . ?answer wdt:P780 wd:Q30141616}
What wards are in the Hautes-Pyrenees district?,SELECT ?answer WHERE { wd:Q13377687 wdt:P1889 ?answer . ?answer wdt:P131 wd:Q12700}
What was Celeste Holm nominated for?,SELECT ?obj WHERE { wd:Q212957 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 wd:Q200299 }
What is the tributary of the harbour of Duisburg ?,SELECT ?answer WHERE { wd:Q2100 wdt:P206 ?X . ?X wdt:P974 ?answer}
What is the number of children not enrolled in school in the Rashidun Caliphate?,SELECT ?answer WHERE { wd:Q12490507 wdt:P30 ?X . ?X wdt:P2573 ?answer}
which river has the steepest tributary,select ?ent where { ?ent wdt:P31 wd:Q4022 . ?ent wdt:P4184 ?obj . ?ent wdt:P974 wd:Q46992264 } ORDER BY DESC(?obj)LIMIT 5
Who is Devi that is worshipped by Hinduism and contains the word lakshmi in his name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q494511 . ?sbj wdt:P1049 wd:Q9089 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'lakshmi')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Who is the musician of  Darth Vader?,SELECT ?answer WHERE { wd:Q12206942 wdt:P175 ?X . ?X wdt:P463 ?answer}
At what point in time was Sally Ride educated at Stanford University?,SELECT ?value WHERE { wd:Q49285 p:P69 ?s . ?s ps:P69 wd:Q41506 . ?s pq:P585 ?value}
Who was the rector of Charles University in Prague whose administration ended in 1990?,"SELECT ?obj WHERE { wd:Q31519 p:P1075 ?s . ?s ps:P1075 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'1990')) }"
When did Harold MacMillan end his position as Member of the 38th Parliament of the United Kingdom?,SELECT ?value WHERE { wd:Q128985 p:P39 ?s . ?s ps:P39 wd:Q41582597 . ?s pq:P582 ?value}
Name the feminine name behind the language work of Russian,select distinct ?sbj where { ?sbj wdt:P407 wd:Q7737 . ?sbj wdt:P31 wd:Q11879590 }
Which award did Corin Tellado receive in the year 1998?,"SELECT ?obj WHERE { wd:Q1813126 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1998')) }"
When did the Iron Age start?,SELECT (COUNT(?obj) AS ?value ) { wd:Q11764 wdt:P580 ?obj }
Who was Michel Houellebecq when he was working in Paris?,SELECT ?obj WHERE { wd:Q103114 p:P108 ?s . ?s ps:P108 ?obj . ?s pq:P937 wd:Q90 }
For which song did Mick Jagger win a Golden Globe Award for Best Original Song?,SELECT ?value WHERE { wd:Q128121 p:P166 ?s . ?s ps:P166 wd:Q1472235 . ?s pq:P1346 ?value}
"What is the language official of Luhansk, whose Linguasphere code is 53-AAA-ea?","SELECT ?answer WHERE { wd:Q134279 wdt:P37 ?answer . ?answer wdt:P1396 ?x FILTER(contains(?x,'53-AAA-ea'))}"
How many occupations does Nancy Cartwright have?,SELECT (COUNT(?obj) AS ?value ) { wd:Q229211 wdt:P106 ?obj }
Who did Christie Brinkley divorce in 2006?,"SELECT ?obj WHERE { wd:Q253476 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P582 ?x filter(contains(YEAR(?x),'2006')) }"
What language and geography are found in Kurdistan?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q41470 wdt:P2936 ?ans_1 . wd:Q41470 wdt:P706 ?ans_2 }
Tell me the ship type whose name has the word whaleback in it,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2235308 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'whaleback')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Who gave the {member of crew of} of {cosmonaut mission} of {Scott E. Parazynski} ?,SELECT ?answer WHERE { wd:Q706739 wdt:P450 ?X . ?X wdt:P1029 ?answer}
"What was the population of Washington, D.C. at the start of 1860?","SELECT ?obj WHERE { wd:Q61 p:P1082 ?s . ?s ps:P1082 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1860')) }"
The antiparticle of an elementary particle is what premium particle?,select distinct ?obj where { wd:Q43116 wdt:P2152 ?obj . ?obj wdt:P31 wd:Q22675015 }
"WHat are the biomedical measurands that contain the word ""waist"" in their name ?","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q42014143 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'waist')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What's the place where James I of Scotland is detained?,SELECT (COUNT(?obj) AS ?value ) { wd:Q235234 wdt:P2632 ?obj }
What what is animated taxondistributed by MGM and {family},"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q16521 . ?sbj wdt:P105 wd:Q35409 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'xyridaceae')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What subsidiary entities are co-founded by Google?,SELECT ?answer WHERE { wd:Q95 wdt:P355 ?X . ?X wdt:P112 ?answer}
What are the national sports team  which start with the letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q1194951 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What are weapon studio which start with the letter z,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q728 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'z')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
Which taxon is named after David Bowie?,select distinct ?sbj where { ?sbj wdt:P138 wd:Q5383 . ?sbj wdt:P31 wd:Q16521 }
What is { significant event } of { Eugène Delacroix } that is { location } is { Saint - Germain - des - Prés Abbey }?,SELECT ?obj WHERE { wd:Q33477 p:P793 ?s . ?s ps:P793 ?obj . ?s pq:P276 wd:Q334186 }
Who gave the{ZIP+4} of {resident in} of {James Ellroy} ?,SELECT ?answer WHERE { wd:Q318487 wdt:P551 ?X . ?X wdt:P281 ?answer}
"What is the birthplace of Oleg Nikolaenko, the sequel of which is Transcaucasian Socialist Federative Soviet Republic?",SELECT ?answer WHERE { wd:Q7086105 wdt:P19 ?answer . ?answer wdt:P155 wd:Q545205}
Who was the Anna Karina's husband in the year 1982?,"SELECT ?obj WHERE { wd:Q232113 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1982')) }"
Which is the research program that the objective of project or mission of human genome whose name contains the word genome?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q7315176 . ?sbj wdt:P3712 wd:Q720988 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'genome')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the son of Ja'far al-Sadiq whose sister is Asmaa Bint Jafar?,SELECT ?answer WHERE { wd:Q170046 wdt:P40 ?answer . ?answer wdt:P3373 wd:Q18595646}
What are the borders of Kaifeng that contain the rural city of Fendquan District,SELECT ?answer WHERE { wd:Q208471 wdt:P47 ?answer . ?answer wdt:P150 wd:Q1198617}
What awards has champion Jack Nicholson won?,SELECT ?answer WHERE { wd:Q39792 wdt:P166 ?X . ?X wdt:P1346 ?answer}
Who {has sons} of {son of} of {Fu Xi} ?,SELECT ?answer WHERE { wd:Q236972 wdt:P22 ?X . ?X wdt:P40 ?answer}
What is the name of the artery that supplies the liver?,select distinct ?obj where { wd:Q9368 wdt:P2286 ?obj . ?obj wdt:P31 wd:Q9655 }
what is the start time for Aung San Suu Kyi has member of Club of Madrid ?,SELECT ?value WHERE { wd:Q36740 p:P463 ?s . ?s ps:P463 wd:Q2426861 . ?s pq:P580 ?value}
Where is David buried?,select distinct ?obj where { wd:Q41370 wdt:P119 ?obj . ?obj wdt:P31 wd:Q486972 }
What twinned twinned administrative body of Stavanger started on the 1st of January 1948?,"SELECT ?obj WHERE { wd:Q25416 p:P190 ?s . ?s ps:P190 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1948')) }"
What genre does David Blaine work in?,select distinct ?obj where { wd:Q353983 wdt:P136 ?obj . ?obj wdt:P31 wd:Q1792379 }
When during the history of Turkey did the country have diplomatic relations with Argentina?,SELECT ?answer WHERE { wd:Q190876 wdt:P1269 ?answer . ?answer wdt:P530 wd:Q414}
When was Halley's Comet discovered?,SELECT (COUNT(?obj) AS ?value ) { wd:Q23054 wdt:P575 ?obj }
Who is the titleholder of award received of Linkin Park?,SELECT ?answer WHERE { wd:Q261 wdt:P1411 ?X . ?X wdt:P1346 ?answer}
What are the cuisines in the {sushi} ?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P2012 wd:Q46383 }
Which Seyfert galaxy has the largest apparent magnitude?,select ?ent where { ?ent wdt:P31 wd:Q213930 . ?ent wdt:P1215 ?obj } ORDER BY DESC(?obj)LIMIT 5
Is Etruschi the city of culture?,select distinct ?sbj where { ?sbj wdt:P2596 wd:Q17161 . ?sbj wdt:P31 wd:Q515 }
What award did Amos Oss Vengurion receive in 2017-0-0?,"SELECT ?obj WHERE { wd:Q151872 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2017')) }"
Who developed the continent of the Amundsen Sea?,SELECT ?answer WHERE { wd:Q72154 wdt:P30 ?X . ?X wdt:P61 ?answer}
Which is the painting that depicts the Richard III of England?,select distinct ?sbj where { ?sbj wdt:P180 wd:Q133028 . ?sbj wdt:P31 wd:Q3305213 }
"What award did Nicolai Kryuchkov win on December 23, 1980?","SELECT ?obj WHERE { wd:Q1196388 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'1980')) }"
What is the diplomatic relationship between Indonesia and Switzerland?,SELECT ?obj WHERE { wd:Q39 p:P530 ?s . ?s ps:P530 ?obj . ?s pq:P805 wd:Q15948966 }
What amount of those stated are for Zaporizhzhia?,SELECT (COUNT(?obj) AS ?value ) { wd:Q157835 wdt:P248 ?obj }
"What is the sourcing circumstances for Roger Williams, who was born in 1603?","SELECT ?value WHERE { wd:Q391591 p:P569 ?s . ?s ps:P569 ?x filter(contains(YEAR(?x),'1603')) . ?s pq:P1480 ?value}"
What border of North Maluku Province has the gps coordinate 1.25?,"SELECT ?answer WHERE { wd:Q5094 wdt:P47 ?answer . ?answer wdt:P625 ?x FILTER(contains(?x,'1.25'))}"
How many crystal systems are in an amorphous solid?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P556 wd:Q103382 }
What tributaries are near the Lake of Cadiz?,SELECT ?answer WHERE { wd:Q15682 wdt:P206 ?X . ?X wdt:P974 ?answer}
Who edited the movie 'Jaws' and is buried in Encino?,SELECT ?answer WHERE { wd:Q189505 wdt:P1040 ?answer . ?answer wdt:P20 wd:Q1190590}
What is the headquarters location and the located on terrain feature of Commonwealth_of_Independent_States ?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q7779 wdt:P159 ?ans_1 . wd:Q7779 wdt:P706 ?ans_2 }
What are the municipality of West Bengal which start with the letter t,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q18918041 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 't')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
"What has districts in the Fengtai District, which has wgs 84 at 116.157?","SELECT ?answer WHERE { wd:Q393831 wdt:P150 ?answer . ?answer wdt:P625 ?x FILTER(contains(?x,'116.157'))}"
What was the discovery of permaculture?,SELECT ?answer WHERE { wd:Q4572 wdt:P61 ?X . ?X wdt:P569 ?answer}
What are Hollywood's borders and where is the location of the administrative territorial  entity?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q34006 wdt:P47 ?ans_1 . wd:Q34006 wdt:P131 ?ans_2 }
When did {battle} of {6th Bomber Corps} {formed}  ?,SELECT ?answer WHERE { wd:Q18234919 wdt:P241 ?X . ?X wdt:P607 ?answer}
Mention the ethnic group related to the Yiddish.,select distinct ?obj where { wd:Q8641 wdt:P2341 ?obj . ?obj wdt:P31 wd:Q41710 }
When did Steve Bannon complete his studies at Virginia Tech?,SELECT ?value WHERE { wd:Q16146870 p:P69 ?s . ?s ps:P69 wd:Q65379 . ?s pq:P582 ?value}
How many anthems are for Bulgaria?,SELECT (COUNT(?obj) AS ?value ) { wd:Q219 wdt:P85 ?obj }
What noble title is given to Louis II of Italy followed by Charles the Bald?,SELECT ?obj WHERE { wd:Q215204 p:P97 ?s . ?s ps:P97 ?obj . ?s pq:P156 wd:Q71231 }
who formation date of topic  of geology of the Moon ?,SELECT ?answer WHERE { wd:Q1648514 wdt:P1269 ?X . ?X wdt:P571 ?answer}
Did Yemelyan Pugachev die in Moscow Oblast?,SELECT ?answer WHERE { wd:Q154240 wdt:P20 ?answer . ?answer wdt:P1376 wd:Q1697}
What is the geological locality having diopside with the total area of 11.14?,"SELECT ?answer WHERE { wd:Q316671 wdt:P2695 ?answer . ?answer wdt:P2046 ?x FILTER(contains(?x,'11.14'))}"
"which music of gayane,was released on 1903-6-6?","SELECT ?answer WHERE { wd:Q539437 wdt:P86 ?answer . ?answer wdt:P569 ?x FILTER(contains(YEAR(?x),'1903'))}"
When did Néstor Kirchner start as Secretary General of the Union of South American Nations?,SELECT ?value WHERE { wd:Q170899 p:P39 ?s . ?s ps:P39 wd:Q2474558 . ?s pq:P580 ?value}
What genre is Rear Window?,SELECT (COUNT(?obj) AS ?value ) { wd:Q34414 wdt:P136 ?obj }
What music from Loretta Lynn received an award?,select distinct ?sbj where { ?sbj wdt:P1346 wd:Q272931 . ?sbj wdt:P31 wd:Q1364556 }
In what year did William Howard Taft become President of the USA?,SELECT ?value WHERE { wd:Q35648 p:P39 ?s . ?s ps:P39 wd:Q11696 . ?s pq:P580 ?value}
How many head coaches are there for Borussia Dortmund?,SELECT (COUNT(?obj) AS ?value ) { wd:Q41420 wdt:P286 ?obj }
How many archives are at Harvard University?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P485 wd:Q13371 }
What was Claude Rains nominated for in Notorious?,SELECT ?obj WHERE { wd:Q318734 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 wd:Q587419 }
What position did Félix Faure hold before he was replaced by Émile Loubet?,SELECT ?obj WHERE { wd:Q296076 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P1366 wd:Q169502 }
Belgrade is the capital of what country?,select distinct ?sbj where { ?sbj wdt:P36 wd:Q3711 . ?sbj wdt:P31 wd:Q3024240 }
What diplomatic crisis lead to the founding of the Russian Orthodox Church?,select distinct ?obj where { wd:Q60995 wdt:P793 ?obj . ?obj wdt:P31 wd:Q5791104 }
What award did John Wayne receive in 2007?,"SELECT ?obj WHERE { wd:Q40531 p:P166 ?s . ?s ps:P166 ?obj . ?s pq:P585 ?x filter(contains(YEAR(?x),'2007')) }"
What is plays of Axl Rose Fernando that has discovered is Bartolomeo Cristofori?,SELECT ?answer WHERE { wd:Q11885 wdt:P1303 ?answer . ?answer wdt:P61 wd:Q301597}
How many developers are placed at Department of Defense?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P178 wd:Q11209 }
For whom Sam Shepard's spouse was in 1969-1-1?,"SELECT ?obj WHERE { wd:Q294583 p:P26 ?s . ?s ps:P26 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1969')) }"
"Who is the spouse, and what position does Derek Jeter play in?",SELECT ?ans_1 ?ans_2 WHERE { wd:Q353511 wdt:P26 ?ans_1 . wd:Q353511 wdt:P413 ?ans_2 }
How many filming location were there for Saving Private Ryan?,SELECT (COUNT(?obj) AS ?value ) { wd:Q165817 wdt:P915 ?obj }
what is the work  for Neil Gaiman has award received as Locus Award for Best Collection?,SELECT ?value WHERE { wd:Q210059 p:P166 ?s . ?s ps:P166 wd:Q54824268 . ?s pq:P1686 ?value}
Who is the {protein} for {physically interacts with} of {fentanyl},select distinct ?sbj where { ?sbj wdt:P129 wd:Q407541 . ?sbj wdt:P31 wd:Q8054 }
Who is owned and developed by the FAceted Application of Subject Terminology?,SELECT ?answer WHERE { wd:Q3294867 wdt:P178 ?X . ?X wdt:P1830 ?answer}
Which is the literary work of the writer Cheryl Strayed?,select distinct ?sbj where { ?sbj wdt:P50 wd:Q5092780 . ?sbj wdt:P31 wd:Q7725634 }
Andriy Shevchenko played this position in what club?,SELECT ?answer WHERE { wd:Q41244 wdt:P54 ?X . ?X wdt:P1352 ?answer}
Who is the organizer of the Grand Tour for Amaury Sport Organisation that has the word de in their name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q866427 . ?sbj wdt:P664 wd:Q372681 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'de')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
When did Ryan Giggs become a member of the Manchester United F.C.?,SELECT ?value WHERE { wd:Q10524 p:P54 ?s . ?s ps:P54 wd:Q18656 . ?s pq:P580 ?value}
Name the stepparent of Sally Field.,select distinct ?obj where { wd:Q187033 wdt:P3448 ?obj . ?obj wdt:P31 wd:Q5 }
"As described by Brockhaus and Efron Encyclopedic Dictionary, what is the unit of length for the smallest conversion to a standard unit?",select ?ent where { ?ent wdt:P31 wd:Q1978718 . ?ent wdt:P2442 ?obj . ?ent wdt:P1343 wd:Q602358} ORDER BY ASC(?obj)LIMIT 5
What are the location and coordinates of the town called Tallow?,"SELECT ?answer WHERE { wd:Q863266 wdt:P1889 ?answer . ?answer wdt:P625 ?x FILTER(contains(?x,'24.7858'))}"
Since when was Jinju twinned with Omsk?,SELECT ?value WHERE { wd:Q42144 p:P190 ?s . ?s ps:P190 wd:Q898 . ?s pq:P580 ?value}
Who is {nominated for} of {Javier Bardem} where {for work} is {No Country for Old Men} ?,SELECT ?obj WHERE { wd:Q134895 p:P1411 ?s . ?s ps:P1411 ?obj . ?s pq:P1686 wd:Q183081 }
In which time zone is Newcastle upon Tyne located?,SELECT ?value WHERE { wd:Q1425428 p:P421 ?s . ?s ps:P421 wd:Q6655 . ?s pq:P1264 ?value}
What are the civilizations that start with the letter V,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q8432 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'v')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What country contains Beijing?,select distinct ?sbj where { ?sbj wdt:P150 wd:Q956 . ?sbj wdt:P31 wd:Q3624078 }
WHICH IS THE PRIME NUMBER WITH THE MAXIMUM NUMERIC VALUE,select ?ent where { ?ent wdt:P31 wd:Q49008 . ?ent wdt:P1181 ?obj } ORDER BY DESC(?obj)LIMIT 5
"""Which is {nomination received} of {Andy Murray}, that has {winners} is {Juan Pablo Montoya} ?""",SELECT ?answer WHERE { wd:Q10125 wdt:P1411 ?answer . ?answer wdt:P1346 wd:Q172744}
Which locality has the largest male population?,select ?ent where { ?ent wdt:P31 wd:Q3257686 . ?ent wdt:P1540 ?obj } ORDER BY DESC(?obj)LIMIT 5
How many distributions are there of a printed circuit board?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P437 wd:Q173350 }
What treatment is Neil Diamond getting for his health issues?,SELECT ?answer WHERE { wd:Q294531 wdt:P1050 ?X . ?X wdt:P2176 ?answer}
Which is the automobile model that is manufactured by Honda?,select distinct ?sbj where { ?sbj wdt:P176 wd:Q9584 . ?sbj wdt:P31 wd:Q3231690 }
What sport doe Abebe Bikila hold the olympic record for?,SELECT ?answer WHERE { wd:Q52596 wdt:P641 ?X . ?X wdt:P2869 ?answer}
What country shares a border with Northern Territory and is along the 26th parallel south?,SELECT ?obj WHERE { wd:Q3235 p:P47 ?s . ?s ps:P47 ?obj . ?s pq:P805 wd:Q1390493 }
Who is the nominee nominated for Vertigo at the Academy Awards for Best Production Design?,SELECT ?value WHERE { wd:Q202548 p:P1411 ?s . ?s ps:P1411 wd:Q277751 . ?s pq:P2453 ?value}
What amount of money did Luc Montagnier receive as a prize for the Nobel Prize in Physiology or Medicine?,SELECT ?value WHERE { wd:Q103598 p:P166 ?s . ?s ps:P166 wd:Q80061 . ?s pq:P2121 ?value}
When did Callimachus die?,SELECT ?obj WHERE { wd:Q192417 p:P570 ?s . ?s ps:P570 ?obj . ?s pq:P1480 wd:Q5727902 }
Who is the business owner of Barbie the doll maker,select distinct ?sbj where { ?sbj wdt:P1830 wd:Q167447 . ?sbj wdt:P31 wd:Q4830453 }
Name the active ingredient in amoxicillin.,select distinct ?obj where { wd:Q201928 wdt:P3780 ?obj . ?obj wdt:P31 wd:Q28885102 }
When did Yevhen Tomin stop being Governor for Poltava Oblast?,SELECT ?value WHERE { wd:Q169501 p:P6 ?s . ?s ps:P6 wd:Q12161920 . ?s pq:P582 ?value}
"What is the document published by the National Constituent Assembly that contains the word ""citizen"" in its name","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q49848 . ?sbj wdt:P98 wd:Q876424 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'citizen')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
What is the public key fingerprint of built IBM Personal Computers?,SELECT ?answer WHERE { wd:Q202712 wdt:P176 ?X . ?X wdt:P3721 ?answer}
who  is the language of work or name of hebrew alphabet?,select distinct ?obj where { wd:Q33513 wdt:P407 ?obj . ?obj wdt:P31 wd:Q34770 }
Where was Reebok established?,SELECT ?answer WHERE { wd:Q466183 wdt:P112 ?X . ?X wdt:P551 ?answer}
What are the world day which start with the letter n,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q2558684 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'n')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
WHEN DID PENELOPE RECEIVED THE AWARD OF THE FOUNDATION?,SELECT ?answer WHERE { wd:Q39666 wdt:P166 ?X . ?X wdt:P571 ?answer}
"What ethnoreligious group starts with the letter ""y""?","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q11197007 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'y')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
How many brands are there for Procter & Gamble?,SELECT (COUNT(?obj) AS ?value ) { wd:Q212405 wdt:P1716 ?obj }
which aircraft family has the lowest highest glide ration whose instance of is aircraft family?,select ?ent where { ?ent wdt:P31 wd:Q15056993 . ?ent wdt:P1470 ?obj . ?ent wdt:P31 wd:Q15056993} ORDER BY ASC(?obj)LIMIT 5
When did Jerome Bruner receive an APA Award for Distinguished Scientific Contributions to Psychology?,SELECT ?value WHERE { wd:Q114867 p:P166 ?s . ?s ps:P166 wd:Q17112655 . ?s pq:P585 ?value}
Where is the {venous drainage} and the {arterial supply} of {Clitoris} ?,SELECT ?ans_1 ?ans_2 WHERE { wd:Q873072 wdt:P2289 ?ans_1 . wd:Q873072 wdt:P2286 ?ans_2 }
"From what country is F. Scott Fitzgerald, who was born in St. Paul?",SELECT ?value WHERE { wd:Q93354 p:P19 ?s . ?s ps:P19 wd:Q28848 . ?s pq:P17 ?value}
WHAT ARE THE WORD THAT  ROOT WHICH CONTAINS TYPE OF MATHEMATICAL FUNCTION,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q47279819 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'root')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25"
How many times was Elizabeth II head of state?,SELECT (COUNT(?sub) AS ?value ) { ?sub wdt:P35 wd:Q9682 }
Which company in Russia has the lowest total equity?,select ?ent where { ?ent wdt:P31 wd:Q13641190 . ?ent wdt:P2137 ?obj . ?ent wdt:P17 wd:Q159. } ORDER BY ASC(?obj)LIMIT 5
When did Nadia Boulanger start working at Fontainebleau Schools?,SELECT ?value WHERE { wd:Q140619 p:P108 ?s . ?s ps:P108 wd:Q470082 . ?s pq:P580 ?value}
What are the diplomatic relations of the Kam people living in South Sudan?,SELECT ?answer WHERE { wd:Q958 wdt:P530 ?answer . ?answer wdt:P172 wd:Q216096}
